en,zh-hans,fr,es
"Track your order","跟踪您的订单","Suivez votre commande","Seguimiento de su pedido"
"Technical Support","技术支持","Support Technique","El Apoyo Técnico"
"Contact us","论坛","Contactez-nous","Contáctenos"
"Sinobaler, a pioneer baler manufacturer, supplies industry-leading and cost-effective baling solutions for all types of waste material.  From small standalone vertical presses to fully automated horizontal lines, we offer a complete range of baling machinery.  Our smartly designed machines are CE certified, with top brand hydraulics and electric components. Durability and affordable prices make our machinery stands out among similar baling presses.  As a pioneer in the waste recycling market,","","La compression ou le compactage de matières recyclables et réutilisables et leur mise en balles, dans un but de gain d’espace, est devenue une activité primordiale pour optimiser la chaine d’approvisionnement de toute entreprise, pour réduire les coûts liés aux traitements de déchets ainsi que pour contribuer à réduire les émissions de gaz à effet de serre. SINOBALER – Pionnier dans le secteur des presses à balles et des équipements de compactage – dispose de connaissances approfondies des préoccupations, problématiques et contraintes régionales dans le secteur du compactage. Que vous ayez à transporter de la fibre naturelle de régions tropicales à des centres de production de textile en Chine, ou à compresser des emballages en carton et papier pour les envoyer dans des centres de recyclage spécialisés en Europe ou en Amérique, SINOBALER maitrise tous les paramètres du compactage et de la mise en balles et peut vous aider à compresser et emballer vos déchets et recyclables plus vite et à moindre coût.",""
"Be ready to witness large savings on recycling and waste removal costs. Sinobaler waste specialists work around the hour and across the globe to bring you considerate after-sales service, strict quality standards and long term value for your most challenging waste handling projects.","","",""
"Home","首页","Accueil","Casa"
"About us","关于我们","A propos","¿Quiénes somos?"
"Baler Types","打包机类型","Type de presses à balle","Tipos Prensas"
"Baler Applications","打包机应用","Application des Presses à Balle","Aplicaciones"
"Baler Accessories","打包机配件","Liste d'Accessoires","Accesorios Empacadora"
"Baler News","新闻","Actualités","Noticias"
"Baler Gallery","产品展厅","Galerie de produits","Galería de productos"
"Contact Us","联系我们","Contactez-nous","Contáctenos"
"330 A Zuo Shiji Guangchang, No.14, Hualou Street Ningbo, 315010, P.R. China","浙江省宁波市华楼街14号 世纪广场330室 邮箱315010","330 A Zuo Shiji Guangchang, No.14, rue Hualou Ningbo, 315010, p. République de Chine","330 A Zuo Shiji Guangchang No.14, Hualou Street Ningbo 315010, P.R. China"
"Enter your keyword","","",""
"Search","","",""
"To help you choose the baler more suitable for you needs, you can have an application to see it's compatible baler, or have a baler to see the compatible applications.","","",""
"Read more","了解更多","En savoir plus","Aprender más"
"Read More","了解更多","En savoir plus","Aprender más"
"Click to download the following product specifications:","点击下载以下产品规格:","Cliquez ici pour télécharger les spécifications des produits suivants:","Haga clic para descargar las siguientes especificaciones del producto:"
"Learn More","了解更多","En Savoir Plus","Aprender más"
"Model","型号","Modèle","Modelo"
"Press Force","机器压力","Press Force","Press Force"
"Bale size","包块大小","taille de la balle","Bale tamaño"
"Bale weight (for used clothes)","包块重量","poids de la balle","Peso de la bala"
"Throughput","产量","Débit","Rendimiento"
"Strapping","捆包材料","Cerclage","Robusto"
"Length","长度","Longueur","Longitud"
"Width","宽度","Largeur","Ancho"
"Height","高度","Hauteur","Altura"
"Choose your language","选择你的语言","Choisissez votre langue","Elija su idioma"
"Related Equipment","相关设备","Équipements connexes","Equipos relacionados"
"Related Accessories","相关配件","Accessoires connexes","Accesorios relacionados"
"Baler Types","打包机类型","Types de Baler","Tipos de Baler"
"Choose baler","选择打包机","Choisissez presse","Elija empacadora"
"No video was found","没有发现视频","Aucune vidéo n\'a été trouvée","No se encontró ningún vídeo"
"No drawing was found","没有图纸被发现","Aucun dessin a été trouvé","No se encontró dibujo"
"No catalogue was found","未发现目录","Aucun catalogue n\'a été trouvée","No se encontró ningún catálogo"
"Quick Links","快速链接","Liens rapides","Enlaces"